Bidang,Judul,Isi
Teknologi,Mahasiswa KKN UPGRIS Ajak Masyarakat Melek Teknologi di Tengah Pandemi,"Setahun berlalu sejak pandemi virus Covid-19 menyerang negara Indonesia. Virus Covid-19 tidak hanya berdampak pada sektor kesehatan saja. Akibat adanya Covid-19 berdampak pada berbagai sektor di Indonesia, salah satunya adalah sektor pendidikan. Berbagai tindakan diambil oleh pemerintah guna mengatasi masalah yang sedang dihadapi. Salah satu upaya yang diambil pemerintah adalah penerapan sekolah secara dalam jaringan atau daring. Selain itu pemerintah juga memberikan bantuan dana kuota internet bagi seluruh siswa serta pengajar di seluruh Indonesia. Hal ini bertujuan untuk meringankan beban pengeluaran bagi masyarakat untuk pendidikan. Sayangnya sekolah daring belum sepenuhnya efektif terlebih pada masyarakat pedesaan. Kendala pada sinyal dan juga kurangnya pengetahuan mengenai teknologi menjadi faktor utamanya. Seperti yang terjadi di Desa Temurejo Rt. 09 Rw.03, Kecamatan Karangrayung, Kabupaten Grobogan. Di Desa Temurejo tepatnya SDN 1 Temurejo telah menerapkan sekolah secara daring. Namun hal ini dirasa kurang efektif bagi murid maupun pengajar yang ada di sana. Selama ini pembelajaran hanya menggunakan Whatshap Massager, karena kebanyakan para wali murid hanya memahami penggunaan WA. Hal ini memiliki kekurangan di mana proses pembelajaran tidak bisa dilakukan secara real time. Pengajar juga tidak bisa memeriksa anak didik secara langsung. Belum lagi ketika pengumpulan tugas belum bisa secara maksimal karena pembatasan ukuran file di aplikasi WA. Itulah yang membuat seorang mahasiswi KKN Universitas PGRI Semarang bernama Dwi Meli Fitriani berinisiatif memberikan pelatihan penggunaan media pembelajaran lain pada para wali murid di Desa Temurejo. Meli memberikan pelatihan penggunaan aplikasi Google Meet dan juga Zoom untuk para wali murid. Pelatihan ini dilakukan dengan tetap menjaga protokol kesehatan dan tetap menjaga jarak aman. Para wali murid menyambut pelatihan yang diberikan Meli dengan antusias. Kegiatan ini dilaksanakan pada Senin, 1 Februari 2021 yang lalu. Di mana Meli memberikan pelatihan dengan mengumpulkan satu kelompok belajar di Rt.09 Rw.03 Desa Temurejo. Pelatihan yang diberikan meliputi penggunaan fitur video call dan cara mengirim chat lewat aplikasi. Selain Google Meet dan Zoom, Meli juga mengajarkan penggunaan Google Classroom untuk pengiriman file tugas yang memiliki ruang penyimpanan lebih besar. Diharapkan setelah ini SDN 1 Temurejo bisa menerapkan penggunaan Google Meet atau pun Zoom untuk meningkatkan proses pembelajaran."
Teknologi,Roket Bertenaga Nuklir Bisa Terbangkan Astronout Ke Mars dalam 3 Bulan,"NASA berencana mendaratkan manusia di Planet Mars pada tahun 2035. Tapi ada banyak tantangan yang harus dihadapi sebelum mewujudkan misi ini, salah satunya durasi perjalanan ke Mars yang sangat panjang. Untuk meluncurkan misi tanpa awak ke Mars, seperti saat mengirimkan rover Perseverance, membutuhkan waktu sekitar tujuh bulan. Tapi untuk mengirimkan misi berawak membutuhkan waktu yang lebih panjang, sekitar sembilan bulan. Untuk itu, ilmuwan berlomba-lomba mengembangkan teknologi yang bisa memperpendek durasi perjalanan ke Mars. Seperti perusahaan Ultra Safe Nuclear Technologies (USNC-Tech) yang merancang roket bertenaga termal nuklir (NTP) yang bisa memotong durasi perjalanan menjadi tiga bulan. Director of Engineering USNC-Tech Michael Eades mengatakan roket bertenaga nuklir akan jauh lebih kuat dan dua kali lebih efisien dibandingkan mesin yang menggunakan bahan bakar kimia. Artinya mesin ini bisa terbang dengan lebih cepat dan jauh, serta menggunakan lebih sedikit bahan bakar. ""Teknologi nuklir akan memperluas jangkauan manusia melewati orbit rendah Bumi dan memasuki deep space,"" kata Eades kepada CNN, seperti dikutip detikINET, Minggu (7/2/2021). Sistem NTP menggunakan reaktor nuklir untuk menghasilkan panas dari bahan bakar uranium. Energi termal tersebut digunakan untuk memanaskan bahan bakar cair, biasanya hidrogen cair, yang mengembang menjadi gas dan keluar dari belakang untuk menghasilkan daya dorong. Teknologi ini tidak hanya akan mempercepat perjalanan astronaut menuju Mars tapi juga menjaga keselamatan mereka. Semakin lama astronaut berada di luar angkasa, semakin besar risiko mereka terpapar radiasi luar angkasa yang bisa menyebabkan beragam masalah kesehatan. Tapi astronaut masih berisiko terpapar radiasi dari reaktor nuklir yang ada di dalam roket. Eades mengatakan hal ini bisa diatasi dengan menempatkan bahan bakar cair, yang bisa memblok partikel radiasi, di antara mesin dan area awak. Jarak antara area awak dan reaktor juga bisa menjadi penengah, dan desain NTP akan menempatkan area tinggal di ujung lain roket yang terpisah jauh dari reaktor. Sayangnya roket bertenaga nuklir tidak bisa meluncur dari landasan pacu di Bumi untuk melindungi orang-orang di sekitarnya. Roket ini harus dibawa oleh roket konvensional ke orbit terlebih dahulu, setelah itu reaktornya baru bisa dinyalakan. Chief Engineer Space Technology Mission Directorate NASA Jeff Sheehy mengatakan setelah berada di orbit roket bertenaga nuklir terbilang sudah aman karena radiasi termal tidak bisa bergerak dalam ruang vakum. Jika terjadi bencana dan reaktor roket rusak, puing-puingnya tidak akan mendarat di Bumi atau planet lainnya hingga puluhan ribu tahun. Sheehy mengatakan setelah itu material radioaktif sudah membusuk secara alami dan tidak lagi berbahaya. USNC-Tech sudah memamerkan pengembangan teknologi NTP ke NASA. Sheehy setuju roket bertenaga roket bisa membantu manusia menjelajahi tata surya lebih jauh lagi, tapi teknologi ini membutuhkan waktu 20 tahun sebelum digunakan secara umum.""Tidak ada orang yang pernah terbang menggunakan roket berpenggerak nuklir. Saya pikir itu harus diterbangkan beberapa kali ... sebelum seseorang menjual tiketnya,"" ucap Sheehy."
Teknologi,4 Tren Teknologi Jaringan Menurut Aruba Pada 2021,"Tuntutan mobilitas serta migrasi aplikasi dan data ke cloud telah meningkat dan mendominasi teknologi jaringan selama satu dekade terakhir. Keduanya secara bersama-sama telah mentransformasi dunia IT, dari era mobility ke era cloud. Tren peralihan ini pada akhirnya membawa kita ke fase berikutnya pada tahun 2021, yakni adopsi Intelligent Edge. Intelligent Edge penting bagi perusahaan/organisasi untuk dapat menerapkan sistem remote working sepenuhnya. Menurut laporan perusahaan riset pasar Gartner, pada tahun 2025 diprediksi tiga per empat data yang berasal dari perusahaan akan tercipta dan diproses di Edge. ""Regulasi terbaru pemerintah Indonesia untuk mengantisipasi peningkatan penularan Covid-19 adalah hanya mengizinkan 25 persen pekerja di 75 kabupaten/kota bekerja di kantor, sementara 75 persen lainnya harus bekerja dari rumah,"" ujar Robert Suryakusuma, Country Manager Indonesia, Aruba, Perusahaan Hewlett-Packard dalam konferensi pers virtual, Kamis (4/2/2021). Intelligent Edge, menurut Robert, ""akan menjadi fokus utama perusahaan-perusahaan di Indonesia yang ingin mengelola infrastruktur TIK mereka supaya dapat mendukung aktivitas bekerja dari rumah, kembali ke kantor dengan aman, dan mendukung berbagai inisiatif agar bisnis tetap berjalan."" Dalam sesi presentasinya, Robert memaparkan empat tren utama yang diprediksi oleh Aruba akan terjadi pada 2021. Tren pertama adalah sistem kerja ""hybrid"" terus berlanjut. Terkait hal ini, Robert menyoroti program vaksinasi yang tengah berlangsung sejak Januari dan pemerintah mengupayakan program ini selesai dalam 15 bulan. Karena itu, menurut dia, aktivitas bekerja dari rumah atau work from home masih akan berlangsung dalam waktu lama. ""Program vaksinasi COVID-19 sudah dimulai, tetapi sampai akhir 2021 banyak pekerja yang bekerja dari luar kantor dan sesekali pergi ke kantor dan sebagian lagi malah benar-benar bekerja di luar kantor sepenuhnya. Hal ini mengakibatkan perubahan besar terhadap ruang kerja di kantor, budaya perusahaan, konektivitas, dan jaringan,"" ujar Robert. Apa yang sebelumnya dianggap bersifat sementara untuk mencegah penularan Covid-19, kini justru telah berubah menjadi sebuah sistem kerja hybrid, asalkan para pekerja bisa bekerja di rumah, kantor, atau tempat lain dengan koneksi aman dan dapat diandalkan. Kemudian tren kedua berkenaan dengan masalah keamanan yang harus dipahami secara dinamis mulai dari Endpoint, Edge, hingga Cloud. Dalam beberapa tahun terakhir, Cloud semakin matang dan jaringan Edge pun bertumbuh, dengan berbagai jenis endpoint yang dipercepat pula oleh ledakan IoT. Karena itulah, cara pandang mengenai keamanan dan penerapannya menjadi bagian penting di dalam arsitektur jaringan, bukan sekadar komponen yang terpasang di lingkungan IT enterprise. Aktivitas bekerja dari rumah dan lingkungan kerja hybrid mendorong para pemimpin TIK untuk semakin serius dalam memahami pendekatan connected security. Dalam hal ini, solusi arsitektur jaringan dengan prinsip Zero Trust akan selalu menjadi bagian inti keamanan yang efektif. Beban kerja TIK tradisional keluar dari Edge dan dipindahkan ke lingkungan cloud atau SaaS. Kekosongan yang ditinggalkan kemudian akan diisi oleh beban kerja spesifik untuk OT/IoT. Selain itu, lewat penerapan 5G, arsitektur jaringan harus menghadapi beban kerja Multi-access Edge Compute (MEC)--baik privat maupun publik--yang lebih membutuhkan pendekatan dinamis terhadap kebijakan kemanan yang berkembang melampaui alur kerja user-centric yang dioptimalkan untuk Zero Trust. Tren selanjutnya pengguna adalah ""Raja"". Kini TIK tidak sekadar menjaga infrastruktur jaringan tetap aktif dan bekerja baik, tetapi menjaga kepuasan pengguna. Dari sudut pandang pemimpin TIK, kepuasan pengguna ini terkait dengan produktivitas pekerja dan pada akhirnya akan memengaruhi profitabilitas bisnis. Tren keempat berkaitan dengan Automasi di operasional jaringan. Perlu ditekankan. Progress automasi tidak sama di seluruh paradigma jaringan. Di pusat data, yang merupakan lingkungan yang lebih terkontrol jika dibandingkan dengan WAN atau LAN, penerapan automasi lebih mendalam. Perubahan di pusat data sebagian besar dipengaruhi oleh struktur hierarkis alami sehingga lebih mudah dipahami dan dikelola melalui skrip automasi. Sementara Edge (baik LAN dan WAN) merupakan lingkungan yang lebih chaotic sebab perubahannya dipicu oleh berbagai faktor yang tak bisa dikontrol sepenuhnya oleh TIK. Faktor-faktor itu antara lain pola perilaku manusia dan perangkat mereka, yang berubah secara konstan. Ada kebutuhan untuk memanfaatkan Artificial Intelligence dan Machine Learning untuk mendeteksi perubahan segera setelah terjadi, serta merespons perubahan secara terus menerus sesingkat apa pun. ""Kini pada 2021, empat tren yang sudah disebutkan akan menyediakan tool bagi para pemimpin IT untuk melalui keadaan yang tak terduga, baik hari ini maupun nanti. Semua itu akan memperkuat para pemimpin IT secara top down untuk memposisikan IT sebagai fungsi yang sangat krusial bagi bisnis dalam bermanuver menghadapi masa depan, apa pun wujudnya. Terjadinya pandemi ini akan mengakselerasi perubahan kultur dan lingkungan kerja,"" kata Robert menyampaikan kesimpulannya."
Teknologi,Teknologi 'Terdepan' Bakalan Hadir di The Epic by Samsung Galaxy S21 Series 5G,"Awal tahun menjadi momen tak terlupakan oleh produsen smartphone Samsung. Pasalnya, Samsung sukses mengumumkan flagship smartphone terbarunya, yakni Galaxy S21 series 5G dalam acara Galaxy Unpacked 2021 yang digelar secara virtual, Kamis (14/1/2021). Untuk di Indonesia, Samsung mengenalkan produk tersebut di Indonesia dengan tajuk Launching New galaxy ‘The Epic Show by Samsung Galaxy S21 Series 5G’, Sabtu (6/1/2021). Digelar secara virtual, acara The Epic Show by Samsung Galaxy S21 Series 5G bakal dipandu oleh Gading Martin dan Astrid Tiar. Selama satu jam, acara tersebut bakal dimeriahkan oleh NOAH, Bunga Cinta Lestari (BCL), Ernest Prakarsa, Dion Wiyoko, Edho Zell, Hamish Daud, Nazla Alifa dan Budi Doremi. Tak lupa, acara itu juga bakal menjelaskan tentang teknologi dari Samsung Galaxy S21 Series 5G. Diketahui, smartphone flagship itu memiliki tiga tipe, seperti dari Galaxy S21 5G, Galaxy S21+ 5G dan Galaxy S21 Ultra 5G. Sebagai bocoran, untuk Galaxy S21 Ultra 5G yang merupakan tipe paling tinggi dalam series tersebut, desain Infinity-O 120Hz dengan bezel tipis. Serta layar Dynamic AMOLED 2X 6,8 inci yang dilindungi Corning Gorilla Glass Victus. Samsung Galaxy S21 Ultra 5G memiliki layar yang akan menyesuaikan refresh rate dari 10Hz hingga 120Hz agar pengguna bisa menikmati konten dengan maksimal tetapi tetap hemat daya. Tak hanya itu, teknologi Eye Comfort Shield yang tersemat bisa mencegah mata lelah. Bicara kamera agar hasil foto produk lebih menarik, untuk Galaxy S21 Ultra 5G memiliki dua kamera Telephoto, masing-masing beresolusi 10MP dengan optical zoom 3x dan 10x. Samsung Galaxy S21 5G juga memiliki kamera telephoto yang turut dibekali kemampuan Space Zoom hingga 100x. Selain itu, ada kamera Ultra Wide 12 MP dan kamera utama (Wide) 108MP. Di sisi depan tertanam kamera beresolusi 40 MP.Tentu dengan resolusi tersebut, hasil foto produk akan lebih tajam dan tidak blur. Sedangkan untuk Galaxy S21 Ultra sendiri memiliki empat kamera belakang, terdiri dari kamera utama 108 MP, kamera Ultra Wide 12 MP, dan dua kamera Telephoto yang masing-masing resolusi 10 MP. Untuk selfie, Galaxy S21 Ultra memiliki kamera depan 40 MP. Di samping itu, Samsung juga bakal mengenalkan beberapa fitur gadget pilihan, seperti Galaxy Buds Pro, S-Pen, dan SmartTag."
Teknologi,"Lewat Teknologi, PasarPolis Manfaatkan Peluang Gap Asuransi","PasarPolis berkomitmen bisa membuka peluang gap asuransi melalui penggunaan teknologi, sehingga mampu menyediakan berbagai produk asuransi bagi masyarakat Indonesia secara mudah, murah dan menyenangkan. “Terkait masalah inovasi teknologi, PasarPolis masih memiliki banyak kelemahan. Tapi kita fokus bagaimana kita bisa memberikan suatu inovasi teknologi yang membuat produk asuransi itu menjadi affordable dan terjangkau dan ini harus ditingkatkan,” kata Founder dan CEO PasarPolis Cleosent Randing, dalam Konferensi Pers Peluang Menjawab Tantangan Gap Asuransi lewat Teknologi, Kamis (4/2/2021). Sehingga PasarPolis bisa benar-benar menjangkau kebutuhan semua kalangan masyarakat, hingga kalangan pra sejahtera seperti tukang ojek online, kurir, dan pelaku UMKM Online. Dengan peningkatan teknologi, mereka bisa mendapatkan akses asuransi secara mudah. “Yang saya bilang kita terus mengingatkan diri kita untuk membuat asuransi yang 3M yaitu mudah, murah dan menyenangkan,” katanya. Oleh karena itu, PasarPolis ingin menjadi pionir dari Indonesia untuk meningkat dan mengembangkan teknologi sebagai basis dari perluasan asuransi di Indonesia. Cleosent menyebut kolaborasi adalah salah satu kunci  untuk memperkuat ekosistem digital di Indonesia terutama Asia Tenggara. “Karena kita melihat bahwa ini suatu tantangan yang begitu besar dan sangat tidak mungkin kami kerjakan sendiri, maka kita berkolaborasi dengan IFC (Finance Corporation),” ungkapnya. Demikian ia  optimis, dengan kerjasama strategis bersama IFC, memungkinkan PasarPolis untuk terus mengembangkan teknologi, dan menghasilkan berbagai produk asuransi mikro serta  menyederhanakan proses pemilihan produk terutama bagi masyarakat terpencil dan prasejahtera."
Teknologi,Ketika Syariat Islam Berpadu Dengan Teknologi,"Berkembangnya teknologi digital dan akses informasi menjadi tantangan sekaligus peluang untuk generasi saat ini dalam menggunakan serta merespons literasi digital menjadi sebuah inovasi. Dalam diskusi virtual bertajuk 'Generasi Muda Wujudkan Indonesia 4.0', MobileCom menggandeng IDN Boarding School sebagai lembaga pendidikan yang memadukan ilmu IT dan agama yang dapat melahirkan para ahli IT berakhlak baik tanpa meninggalkan syariat Islam. Dalam kesempatan ini, Senin (1/2/2020), Presiden Direktur MobileCom Steven Samudera menyampaikan pentingnya bagi generasi muda untuk memiliki karakter dalam mengimplementasikan teknologi secara optimal. Ia juga melihat IDN Boarding School berbeda dengan SMK lainnya. Pada era saat ini, lembaga pendidikan yang memadukan ilmu agama dan teknologi sangat dicari oleh masyarakat. ""Itulah yang dicari oleh para orangtua dan inilah yang akan menjadi kebutuhan besar bangsa ini, yaitu lahirnya anak-anak yang bisa men-drive kehidupan yang beradab, kehidupan yang penuh dengan religius, tapi juga kehidupan yang memudahkan hidup mereka dengan teknologi,"" ujar Steven melalui keterangannya."
Teknologi,"CEO Apple Umbar Perusahaan Teknologi Pemasok Hoaks, Sindir Facebook?","CEO Apple Tim Cook secara tidak langsung menyindir Facebook sebagai pemasok hoaks dan penjual murahan yang ingin meraih untung secara instan. Cook mengeluarkan pernyataan itu selang sehari setelah pendiri Facebook, Mark Zuckerberg mengkritiknya. Zuckerberg menyebut Apple mengganggu cara kerja aplikasi Facebook dan juga aplikasi lainnya dengan menerapkan fitur privasi terbaru. Meski Cook tak secara langsung menyebut Facebook, namun dalam penjelasannya selama tiga menit di Youtube, sudah cukup jelas bahwa platform media sosial itu menjadi sasarannya. ""Jika ada bisnis yang dibangun di atas pengguna yang menyesatkan, pada eksploitasi data dan pengguna tidak bisa memilih, maka itu tak bisa diberikan pujian. Kita tidak bisa lagi berpaling bawah sudah terlalu banyak hoaks dan konspirasi teori yang muncul karena algoritma. Kita juga tidak berpaling bahwa ada teori teknologi yang mengumpulkan data dan hanya mementingkan engagement,"" ujar Cook seperti dilansir Pocketlint. ""Pertanyaan tentang konsekuensi dari teori konspirasi, kekerasan, kehilangan kepercayaan sudah usang. Faktanya adalah ada ekosistem sebuah perusahaan yang saling terhubung dengan hoaks, pialang data, hingga pelacak yang hanya ingin menghasilkan uang lebih cepat dari yang pernah ada sebelumnya."" ""Sudah cukup menghargai konten yang merusak kepercayaan publik pada vaksinasi yang menyelamatkan banyak jiwa. Kami di sini untuk melawan dan ini cukup bijaksana."""
Teknologi,Ride Vision Kembangkan Keselamatan Sepeda Motor,"Teknologi yang berkembang di dunia otomotif tidak hanya ditujukan untuk kendaraan roda empat. Tetapi, sepeda motor juga akan mendapatkan fitur keselamatan baru yang bisa memberikan peringatan kepada pengendaranya. Dilansir Visordown, teknologi ini tengah dikembangkan oleh Ride Vision, fitur tersebut bisa memberikan peringatan kepada pengendara untuk terhindar dari kecelakaan. Fitur ini tidak berbeda dengan sistem peringatan blind spot yang dibenamkan pada mobil, sistem ini dirancang untuk bertindak sebagai isyarat visual tambahan bagi pengendara untuk segera mengambil tindakan. Sistem peringatan non-invasif tidak akan mengambil langkah secara otomatis untuk mengerem atau mengubah posisi kendaraan, semua masih berada di tangan pengendara untuk penyesuaian terhadap situasi yang dialami. Sistem peringatan tingkat lanjut ini disebut dengan Collision Aversion Technology atau CAT, dan beroperasi pada chip ECU khusus yang ditenagai oleh aki pada sepeda motor. Selain memberikan peringatan kepada pengendaranya, fitur ini juga akan merekam statistik perjalanan pengendara. Teknologi fitur ini bekerja dengan mengandalkan dua kamera wide angle yang dipasang di bagian depan dan belakang, sehingga berfungsi sebagaipenglihatan yang lebih jelas di jalan. Pandangan yang direkam oleh kamera tersebut dikirim ke ECU motor yang menggunakan algoritma untuk memperdiksi pergerakan dan memberikan pengendara penglihatan 360 derajat. Kamera yang dipasang di bagian depan dan belakang selain dimanfaatkan untuk memberikan pandangan yang luas, juga bisa dimanfaatkan sebagai dashcam seperti pada mobil. Penggunaan kamera ini selain untuk fitur keselamatan, juga bisa bermanfaat untuk merunut kendaraan tersebut jika mengalami kecelakaan."
Teknologi,Mobil Listrik Cina Hadirkan Teknologi Pengecasan Nirkabel,"Mobil listrik menjadi isu paling menarik belakangan ini. Tidak hanya satu produsen otomotif yang menghadirkan mobil listrik, tetapi beberapa produsen juga sudah menyiapkannya. Termasuk pemain baru yang akan memperkenalkan mobil listrik terbarunya. Kerja sama yang terjalin antara Alibaba (sebuah perusahaan e-commerce terbesar di Cina) dan SAIC, siap untuk meluncurkan mobil listrik dengan teknologi terbarunya. Ada beberapa teknologi yang siap dimasukkan pada mobil listrik ini. Bahkan, bukan hanya dari segi teknologi yang dibenamkan, tetapi dari segi fitur yang ditawarkan, Alibaba dan SAIC juga sudah merencanakan fitur apa saja yang akan mereka benamkan untuk membuat konsumen terkesima. Melansir dari Carscoops, mobil listrik hasil kolaborasi ini tidak hanya menawarkan satu model saja, tetapi disebutkan mereka akan membuat model sedan dan crossover. Mengutip dari laman tersebut, salah satu yang akan ditonjolkan adalah adanya teknologi cerdas pada pencahayaan dimana lampu ini dibuat dari 2,6 juta piksel cahaya. Teknologi ini juga dibuat oleh produsen untuk memberikan kesan hi-tech bukan hanya dari pencahayaan tetapi juga akan menampilkan animasi serta status pengisian baterai. Fitur lainnya yang sudah direncanakan hadir pada mobil ini adalah sunroof, pod sensor yang dipasang di roof, serta lampu belakang yang membentang di kedua sisinya. Salah satu hal menarik dari mobil ini adalah tampilan layar seluas 39 inci yang akan muncul di dashboard serta dipecah menjadi tiga bagian. Layar yang ditawarkan tidak hanya satu, melainkan ada layar lain seluas 12,8 inci menyerupai layar milik Mercedes S-Class 2021. Teknologi lainnya yang juga akan disematkan adalah kamera beresolusi tinggi sebanyak 15 unit serta 12 sensor ultrasonic dan radar gelombang lima milimeter. Kamera tersebut juga akan digunakan untuk penggerak semi otonom dan fitur panggilan seperti yang diadopsikan pada mobil listrik Tesla. Sementara itu, untuk sistem operasi yang digunakan pada mobil listrik ini akan berjalan pada DRIVE Orin dan memiliki beberapa SoC Orin. Sementara itu, dari sisi jantung pacu, mobil ini akan menggunakan dua motor listrik. Hasilnya, di atas kertas mobil ini akan memiliki tenaga sebesar 536 tk dan torsi 700 Nm serta berpenggerak all-wheel drive. Dari sisi penggunaan baterai, mobil hasil kerja sama Alibaba dan SAIC akan dipersenjatai dengan dua buah baterai bertenaga 93 kWh dan 115 kWh. Berbekal baterai tersebut, mobil ini diklaim mampu melakukan perjalanan hingga 874 kilometer dalam siklus NEDC. Adapun teknologi paling menariknya adalah mobil ini bisa melakukan pengisian baterai dengan cara nirkanel berkecepatan tinggi. Dalam satu jam, mobil ini dapat mengisi sekitar 11 kW dan mampu melahap jarak 70-80 kilometer. Menurut laporan terkait, sedan ini akan dipamerkan dalam waktu dekat pada pameran Shanghai Auto Show yang akan dilangsungkan pada April 2021. Sedangkan untuk model crossover, dikabarkan siap diluncurkan pada 2022."
Teknologi,Mobil Listrik Cadillac Celestiq Punya Teknologi Keren di Atapnya,"Terobosan demi terobosan terus dihadirkan oleh produsen otomotif dalam menghadirkan mobil listrik. Kali ini, Cadillac, menghadirkan Celestiq EV sebuah inovasi untuk mobil listrik mereka dengan menawarkan teknologi atap yang canggih. Berdasarkan informasi yang dirilis, mereka mengatakan bahwa Cadillac Celestiq akan menjadi kendaraan pertama yang menawarkan kaca sunroof dengan partikel suspensi. Selain itu, kaca sunroof tersebut juga sudah disematkan teknologi baru sehingga memungkinkan setiap penumpangnya untuk mengatur tingkat personalisasinya sendiri. Teknologi tersebut merupakan sesuatu yang baru. Di mana pada kaca partikel suspensi tersebut pada dasarnya menyelipkan partikel kecil di antara dua panel kaca. Dari situ, ada sebuah muatan listrik yang dapat dikirim melalui kaca-kaca tersebut yang melapisi semua partikel gelap, sehingga membuatnya lebih buram atau kurang buram. Selain dibekali dengan teknologi tersebut, sebagai informasi tambahan mobil ini dibangun di atas platform Ultium GM. Salah satu keunggulannya adalah dari segi dimensi, di mana mobil listrik ini hadir dengan dimensi yang tidak begitu lebar. Sedangkan dari sisi kemampuan, Cadillac Celestiq EV memiliki kemampuan untuk menempuh jarak 400 mil. Di samping itu, mobil ini juga sudah dibekali dengan fitur pengisian cepat 350 kW. Misteri mengenai kapan mobil ini akan dihadirkan masih menjadi tanda tanya. Namun, banyak isu menyebutkan Celestiq EV akan diluncurkan pada 2023. Kabar tersebut merunut pada model lain milik Cadillac Lyriq yang dikabarkan diperkenalkan pada 2022."
Hukum,DPR AS Seorang Kader Partai Republik Penyebar Teori Konspirasi,"Dewan Perwakilan Rakyat Amerika Serikat memilih untuk menghukum seorang kader partai Republik atas komentar pedas dan tak beralasan. Alhasil, anggota partai itu dikeluarkan dari dua komite. Dikutip dari laman BBC, Jumat (5/2/2021) Marjorie Taylor Greene dianggap telah menyebarkan teori konspirasi tak berdasar dan menunjukkan dukungan untuk kekerasan terhadap Demokrat. Sebelas Republikan bergabung dengan Demokrat untuk mengesahkan mosi dengan nomor 230-199 itu. Sebelum pemungutan suara, anggota kongres Georgia itu menyatakan penyesalan atas pandangannya, termasuk konspirasi pada insiden penembakan sekolah dan 9/11. Greene sekarang telah dicopot dari dua tugasnya di panel pendidikan dan anggaran. Pada Kamis (4/2) sebelum pemungutan suara, Greene menyatakan penyesalan atas komentar masa lalunya, tetapi tidak menyampaikan permintaan maaf. Di DPR, ia mengatakan pernyataan kontroversialnya itu dibuat sebelum mencalonkan diri pada 2020 lalu. Dia mengatakan, ""berhenti percaya"" pada QAnon - sebuah teori konspirasi yang mengklaim bahwa mantan Presiden Donald Trump sedang melancarkan perang klandestin terhadap komplotan penyembah setan terhadap anak-anak dan kanibal - sekitar tahun 2018. Komentar itu ia nyatakan setelah menemukan ""informasi yang salah dan hal-hal yang tidak benar"" yang ditemukan di postingan grup teori konspirasi."
Hukum,Perkara Hukum Status Kewarganegaraan Bupati Terpilih Sabu Raijua,"Polda NTT mulai menyelidiki kasus kewarganegaraan Bupati terpilih Sabu Raijua, Orient P Riwu Kore. Pihaknya akan berkoodinasi dengan Komisi Pemilihan Umum (KPU) dan Badan Pengawas Pemiluh (Bawaslu) Kabupaten Sabu Raijua. Kabid Humas Polda NTT Kombes Pol Rishian Krisna Budhiaswanto mengatakan Kapolda NTT, Irjen Pol Lotharia Latif telah memerintahkan jajarannya melalui Direktur Kriminal Umum (Ditreskrimum) Polda NTT untuk mendalami permasalahan status kewarganegaraan Bupati Sabu Raijua itu. ""Kapolda sudah perintahkan dan saat ini sedang didalami,"" ungkap Kabid Humas Polda NTT, Kombes Pol Rishian Krisna Budhiaswanto kepada wartawan, Rabu (3/2/2021). Ia mengaku, Polda NTT saat ini tengah melakukan langkah-langkah koordinasi dengan intansi terkait yakni, KPU dengan Bawaslu Provinsi NTT juga Kabupaten Sabu Raijua. Dia mengatakan, koordinasi dilakukan dengan KPU dan Bawaslu Kabupaten Sabu Raijua terkait perihal pengumpulan alat bukti. ""Dari hasil koordinasi tersebut akan menentukan kasus terpilihnya Bupati Sabu Raijua Orient P Riwu Kore,"" ujarnya. Saat ini, kami kumpulkan bukti-bukti untuk memastikan ada unsur pidana atau tidak dalam kasus ini untuk ditangani lebih lanjut, dan koordinasi sudah muali jalan saat ini."
